,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,nSyb_A4R,nSyb_A5R,nSyb_A6R,nSyb_A7R,time
0,1048.5727272727272,1501.3410852713178,1612.8267716535433,973.7549019607843,1826.6589743589743,1808.74715261959,1593.0076335877864,1135.5631067961165,0.0
1,1065.3,1518.4883720930231,1583.1968503937007,997.1078431372549,1827.1435897435897,1808.7038724373576,1587.2544529262086,1129.6084142394823,0.10088027108433735
2,1092.3,1510.2635658914728,1602.6141732283465,1033.2941176470588,1821.7333333333333,1793.384965831435,1591.0254452926208,1109.6504854368932,0.2017605421686747
3,1051.5272727272727,1535.2325581395348,1628.7716535433071,1011.656862745098,1841.8820512820512,1811.8359908883826,1590.1272264631043,1116.9223300970873,0.30264081325301206
4,1083.6909090909091,1564.7751937984497,1556.9055118110236,1018.5980392156863,1844.7205128205128,1809.8246013667426,1578.030534351145,1122.2524271844661,0.4035210843373494
5,1079.0454545454545,1519.8992248062016,1619.0787401574803,1035.1176470588234,1832.7230769230769,1795.637813211845,1574.676844783715,1102.8025889967637,0.5044013554216867
6,1097.090909090909,1559.6511627906978,1643.3937007874015,1041.5980392156862,1842.5461538461539,1797.9248291571755,1609.030534351145,1107.304207119741,0.6052816265060241
7,1102.9818181818182,1551.3100775193798,1638.267716535433,1059.1960784313726,1847.9666666666667,1824.8200455580866,1578.3256997455471,1104.5533980582525,0.7061618975903614
8,1110.6818181818182,1527.0852713178294,1637.8031496062993,1064.5882352941176,1830.9615384615386,1782.0296127562642,1592.0432569974555,1113.6699029126214,0.8070421686746988
9,1109.7727272727273,1568.5813953488373,1615.6692913385828,1046.2843137254902,1828.8153846153846,1793.7813211845103,1579.4351145038167,1122.4983818770227,0.9079224397590362
10,1081.5545454545454,1516.0,1632.7716535433071,1090.5098039215686,1848.2128205128206,1801.749430523918,1556.3715012722646,1115.8673139158575,1.0088027108433735
11,1068.709090909091,1566.937984496124,1608.4409448818897,1034.3235294117646,1846.6615384615384,1802.9498861047837,1573.0,1106.5760517799354,1.1096829819277108
12,1089.1818181818182,1525.1472868217054,1671.8976377952756,1029.0980392156862,1815.5846153846153,1797.5239179954442,1575.445292620865,1110.8543689320388,1.2105632530120483
13,1099.6727272727273,1535.5968992248063,1643.291338582677,1065.7450980392157,1844.2076923076922,1831.5945330296126,1567.030534351145,1093.8705501618124,1.3114435240963855
14,1082.8090909090909,1509.3798449612402,1616.6062992125985,1044.8039215686274,1841.0666666666666,1791.8610478359908,1581.3765903307888,1115.9482200647249,1.4123237951807228
15,1096.5,1532.5891472868218,1596.5511811023623,1063.9803921568628,1826.5128205128206,1788.0774487471526,1579.4351145038167,1103.6440129449838,1.5132040662650603
16,1092.709090909091,1558.875968992248,1626.7716535433071,1045.0686274509803,1814.2102564102563,1765.9681093394076,1564.7455470737914,1112.177993527508,1.6140843373493976
17,1128.6545454545455,1546.7519379844962,1615.748031496063,1047.6176470588234,1826.9692307692308,1795.0683371298405,1565.9974554707378,1105.336569579288,1.7149646084337349
18,1106.790909090909,1537.4263565891472,1622.8110236220473,1056.764705882353,1826.946153846154,1801.9476082004555,1543.437659033079,1110.2491909385112,1.8158448795180724
19,1083.2363636363636,1544.8062015503876,1635.4330708661416,1063.1666666666667,1812.4179487179488,1775.3371298405466,1554.7480916030534,1093.1650485436894,1.9167251506024097
20,1095.3727272727272,1529.139534883721,1647.4803149606298,1099.235294117647,1813.9820512820513,1780.4282460136674,1543.4300254452926,1102.9093851132686,2.017605421686747
21,1095.5272727272727,1512.984496124031,1610.3543307086613,1051.6568627450981,1837.9076923076923,1767.0410022779042,1570.9847328244275,1067.6278317152103,2.1184856927710842
22,1075.2,1512.3875968992247,1636.6299212598426,1062.421568627451,1794.725641025641,1790.380410022779,1550.6157760814249,1092.2394822006472,2.2193659638554215
23,1093.4727272727273,1509.5891472868218,1597.3622047244094,1064.0294117647059,1814.1538461538462,1801.3234624145787,1581.0763358778627,1094.2524271844661,2.3202462349397592
24,1097.5636363636363,1481.1162790697674,1618.0551181102362,1092.1666666666667,1822.548717948718,1779.373576309795,1561.9821882951653,1088.336569579288,2.4211265060240965
25,1082.2363636363636,1519.6589147286822,1635.6299212598426,1030.2058823529412,1817.7641025641026,1786.75854214123,1572.1908396946565,1084.4466019417475,2.522006777108434
26,1072.2545454545455,1528.5581395348838,1619.5196850393702,1018.3235294117648,1825.7282051282052,1767.3348519362187,1547.7455470737914,1091.4368932038835,2.622887048192771
27,1086.8545454545454,1535.3720930232557,1652.015748031496,1074.8333333333333,1817.323076923077,1790.4282460136674,1560.0839694656488,1098.2815533980583,2.7237673192771084
28,1071.1454545454546,1505.1007751937984,1632.9685039370079,1006.4019607843137,1806.051282051282,1788.9772209567197,1526.3740458015268,1105.3721682847897,2.8246475903614456
29,1063.081818181818,1424.3488372093022,1588.6299212598426,1053.4803921568628,1818.2871794871794,1779.6947608200455,1531.7989821882952,1108.8964401294497,2.9255278614457834
30,1066.8,1461.4728682170542,1582.7007874015749,1053.1078431372548,1819.6846153846154,1769.1913439635534,1580.6030534351146,1094.812297734628,3.0264081325301206
31,1062.709090909091,1481.3333333333333,1592.9291338582677,1082.4313725490197,1794.5948717948718,1774.4305239179955,1542.9821882951653,1070.1197411003236,3.127288403614458
32,1050.2818181818182,1499.6666666666667,1624.4645669291338,1062.4803921568628,1814.428205128205,1782.7767653758542,1556.7506361323155,1076.8349514563106,3.228168674698795
33,1039.918181818182,1483.4496124031007,1575.6062992125985,1053.4901960784314,1798.1051282051283,1751.617312072893,1564.6641221374045,1103.126213592233,3.3290489457831325
34,1041.6,1504.3643410852712,1548.0472440944882,1069.8039215686274,1805.851282051282,1754.3712984054669,1564.7099236641222,1084.7734627831715,3.4299292168674698
35,1068.009090909091,1506.7209302325582,1556.6929133858268,1079.578431372549,1834.0666666666666,1763.6127562642369,1535.8498727735368,1090.0064724919093,3.530809487951807
36,1068.418181818182,1545.953488372093,1589.4724409448818,1068.950980392157,1818.8641025641025,1773.0728929384966,1549.1424936386768,1092.7605177993528,3.6316897590361448
37,1076.5636363636363,1495.8837209302326,1557.8031496062993,1076.637254901961,1804.4564102564102,1788.248291571754,1548.4478371501273,1081.4304207119742,3.732570030120482
38,1082.6727272727273,1483.2093023255813,1622.8346456692914,1109.9803921568628,1800.6179487179488,1788.8268792710705,1540.6921119592876,1081.6051779935276,3.8334503012048193
39,1042.0363636363636,1518.5581395348838,1603.4409448818897,1082.2058823529412,1778.8871794871795,1768.1138952164008,1558.3689567430026,1088.906148867314,3.9343305722891566
40,1060.1545454545455,1493.0232558139535,1590.9133858267717,1078.1960784313726,1813.7384615384615,1787.756264236902,1554.3180661577608,1092.883495145631,4.035210843373494
41,1061.418181818182,1485.2790697674418,1606.3543307086613,1081.6274509803923,1795.5948717948718,1782.132118451025,1556.5877862595419,1081.6990291262136,4.136091114457831
42,1084.1636363636364,1526.1317829457364,1620.4803149606298,1076.7941176470588,1803.125641025641,1774.5239179954442,1553.7582697201017,1083.3074433656957,4.2369713855421685
43,1073.6090909090908,1479.1860465116279,1535.6456692913387,1065.5,1803.4641025641026,1772.9681093394076,1568.4834605597964,1103.7734627831715,4.337851656626506
44,1038.709090909091,1495.2093023255813,1517.7952755905512,1062.1764705882354,1831.1076923076923,1768.0751708428245,1533.2213740458014,1091.2265372168285,4.438731927710843
45,1024.7363636363636,1456.5658914728683,1549.0,1081.2941176470588,1781.974358974359,1775.4464692482916,1542.0763358778627,1086.009708737864,4.539612198795181
46,1037.8727272727272,1482.7286821705427,1545.251968503937,1057.7450980392157,1788.9769230769232,1778.3986332574032,1548.8396946564885,1093.9385113268609,4.6404924698795185
47,1073.1909090909091,1493.7364341085272,1553.5511811023623,1056.862745098039,1798.7794871794872,1751.6583143507974,1571.1246819338423,1094.8511326860842,4.741372740963856
48,1038.4818181818182,1456.124031007752,1500.763779527559,1083.2745098039215,1795.7051282051282,1766.24145785877,1545.4274809160306,1074.2524271844661,4.842253012048193
