,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
0,274.9529411764706,315.21649484536084,251.57894736842104,436.0246913580247,329.4431818181818,351.85714285714283,550.4065934065934,226.96153846153845,288.9065420560748,205.72,372.9504950495049,404.8181818181818,370.3673469387755,337.64835164835165,0.0
1,268.74117647058824,337.8041237113402,251.98947368421054,422.0617283950617,325.78409090909093,361.9220779220779,543.1868131868132,228.625,298.4859813084112,214.72,367.58415841584156,379.46363636363634,371.0612244897959,345.4175824175824,0.030784666666666665
2,241.90588235294118,316.0412371134021,257.3578947368421,442.3333333333333,331.95454545454544,346.38961038961037,542.2417582417582,234.05769230769232,294.01869158878503,231.90666666666667,352.4257425742574,397.6545454545454,388.90816326530614,340.7032967032967,0.06156933333333333
3,254.83529411764707,327.8453608247423,247.89473684210526,412.51851851851853,310.125,361.2207792207792,550.1758241758242,239.1153846153846,295.9158878504673,217.68,355.03960396039605,403.22727272727275,382.55102040816325,350.74725274725273,0.09235399999999999
4,260.50588235294117,321.6185567010309,244.06315789473683,443.320987654321,322.2386363636364,342.64935064935065,556.1758241758242,228.20192307692307,288.5327102803738,214.42666666666668,365.1188118811881,385.45454545454544,381.38775510204084,335.5164835164835,0.12313866666666666
5,254.6235294117647,334.5154639175258,239.31578947368422,433.81481481481484,315.8863636363636,354.38961038961037,551.3296703296703,243.91346153846155,284.14953271028037,211.09333333333333,351.6831683168317,388.2909090909091,395.48979591836735,334.7362637362637,0.15392333333333333
6,259.3176470588235,327.0618556701031,246.4842105263158,447.51851851851853,329.3636363636364,354.2987012987013,543.1868131868132,218.71153846153845,292.74766355140184,223.06666666666666,372.03960396039605,408.92727272727274,388.6938775510204,335.7362637362637,0.18470799999999998
7,246.1764705882353,340.9484536082474,259.5263157894737,426.9259259259259,308.125,341.53246753246754,540.6373626373627,229.85576923076923,284.41121495327104,208.81333333333333,374.0,385.1818181818182,378.35714285714283,336.42857142857144,0.21549266666666667
8,273.1411764705882,335.8659793814433,255.26315789473685,465.25925925925924,313.4886363636364,335.2077922077922,525.934065934066,221.33653846153845,286.14018691588785,218.32,369.9009900990099,394.41818181818184,380.94897959183675,320.2197802197802,0.24627733333333332
9,247.24705882352941,334.7319587628866,252.97894736842105,437.8641975308642,321.0681818181818,348.9220779220779,530.2747252747253,242.25,288.4579439252336,221.92,359.34653465346537,387.8181818181818,386.88775510204084,338.1758241758242,0.277062
10,250.69411764705882,324.37113402061857,243.44210526315788,418.641975308642,304.6136363636364,336.97402597402595,516.5054945054945,225.02884615384616,271.0093457943925,202.48,362.63366336633663,377.7909090909091,371.6734693877551,345.6043956043956,0.30784666666666666
11,256.9529411764706,320.12371134020617,246.57894736842104,429.04938271604937,330.45454545454544,343.4025974025974,563.0989010989011,229.05769230769232,288.7383177570093,216.33333333333334,361.1782178217822,371.3,385.4591836734694,330.34065934065933,0.33863133333333334
12,240.30588235294118,303.92783505154637,258.87368421052633,422.8024691358025,325.20454545454544,325.1168831168831,526.967032967033,231.7596153846154,291.6542056074766,218.21333333333334,351.2079207920792,395.3181818181818,376.6326530612245,343.4725274725275,0.36941599999999997
13,258.74117647058824,317.64948453608247,242.23157894736843,403.51851851851853,311.35227272727275,341.6233766233766,507.5054945054945,234.07692307692307,279.9626168224299,226.2,346.53465346534654,409.22727272727275,380.6938775510204,334.8021978021978,0.40020066666666665
14,240.3764705882353,322.0515463917526,247.55789473684212,427.8024691358025,327.82954545454544,318.45454545454544,516.2637362637363,228.98076923076923,289.31775700934577,224.82666666666665,365.26732673267327,406.1454545454545,377.2755102040816,337.3956043956044,0.43098533333333333
15,243.1529411764706,326.91752577319585,256.7894736842105,418.5925925925926,317.67045454545456,324.0,526.2087912087912,230.83653846153845,294.94392523364485,201.24,348.55445544554453,385.95454545454544,365.4591836734694,353.2307692307692,0.46176999999999996
16,248.52941176470588,314.91752577319585,264.61052631578946,406.61728395061726,300.22727272727275,329.5064935064935,524.7582417582418,232.0096153846154,298.94392523364485,218.82666666666665,356.7029702970297,400.9818181818182,376.31632653061223,316.34065934065933,0.49255466666666664
17,225.2235294117647,315.44329896907215,250.90526315789472,441.4567901234568,307.3863636363636,328.7142857142857,541.2527472527472,226.1153846153846,292.9158878504673,221.54666666666665,370.3960396039604,388.74545454545455,377.7959183673469,322.57142857142856,0.5233393333333333
18,251.27058823529413,325.4226804123711,257.38947368421054,442.8395061728395,318.3636363636364,328.5194805194805,532.4505494505495,235.27884615384616,294.70093457943926,211.65333333333334,367.81188118811883,397.74545454545455,368.03061224489795,335.0879120879121,0.554124
