,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
0,362.10526315789474,472.0,949.7878787878788,835.2884615384615,361.82608695652175,508.05882352941177,442.57142857142856,441.42105263157896,585.734693877551,0.0
1,386.36842105263156,469.8301886792453,951.8333333333334,806.8076923076923,382.3695652173913,548.0882352941177,467.0,472.13157894736844,621.1632653061224,0.031092166666666667
2,339.10526315789474,450.24528301886795,972.1363636363636,805.9615384615385,362.1521739130435,510.1764705882353,410.4761904761905,438.7631578947368,594.3469387755102,0.062184333333333335
3,368.8157894736842,482.6792452830189,939.2121212121212,844.0192307692307,377.45652173913044,522.0882352941177,459.04761904761904,428.86842105263156,617.5510204081633,0.0932765
4,341.6578947368421,473.8301886792453,949.5,803.9423076923077,386.1304347826087,550.2058823529412,477.42857142857144,423.94736842105266,609.9591836734694,0.12436866666666667
5,351.9736842105263,434.6792452830189,963.6969696969697,850.8653846153846,355.3695652173913,552.8823529411765,430.26190476190476,440.2894736842105,631.1224489795918,0.15546083333333333
6,343.55263157894734,488.811320754717,945.6666666666666,847.5,362.2826086956522,488.8235294117647,421.8333333333333,482.0,600.9591836734694,0.186553
7,371.13157894736844,477.62264150943395,915.939393939394,881.5192307692307,344.0217391304348,571.7647058823529,433.07142857142856,448.1578947368421,600.8775510204082,0.21764516666666667
8,364.89473684210526,485.9811320754717,958.4242424242424,870.1730769230769,371.2608695652174,525.7647058823529,479.1666666666667,472.3157894736842,568.3061224489796,0.24873733333333334
9,369.7894736842105,485.9433962264151,956.0757575757576,872.9615384615385,354.7608695652174,521.8823529411765,411.6666666666667,441.92105263157896,667.5510204081633,0.2798295
10,363.2105263157895,501.0566037735849,948.6363636363636,881.0769230769231,402.89130434782606,497.02941176470586,421.14285714285717,447.4736842105263,638.2448979591836,0.31092166666666665
11,385.1578947368421,498.37735849056605,948.8181818181819,905.6923076923077,366.2826086956522,537.6176470588235,436.4761904761905,419.13157894736844,621.204081632653,0.34201383333333335
12,353.10526315789474,518.7358490566038,974.3333333333334,861.1346153846154,376.0,527.6470588235294,441.04761904761904,417.0,627.0408163265306,0.373106
13,376.2368421052632,454.6792452830189,981.5909090909091,864.6538461538462,359.3478260869565,523.2058823529412,436.92857142857144,433.36842105263156,587.1428571428571,0.4041981666666667
14,358.07894736842104,494.54716981132077,927.6363636363636,846.9615384615385,382.5652173913044,492.61764705882354,436.4047619047619,429.1578947368421,666.530612244898,0.43529033333333333
15,346.39473684210526,475.0943396226415,895.9848484848485,885.1538461538462,356.0652173913044,519.3529411764706,432.54761904761904,465.42105263157896,615.1632653061224,0.46638250000000003
16,361.2105263157895,499.50943396226415,913.0757575757576,892.0384615384615,398.17391304347825,519.5588235294117,442.45238095238096,453.0,652.2244897959183,0.4974746666666667
17,319.1578947368421,476.3207547169811,959.1666666666666,873.6538461538462,353.60869565217394,497.11764705882354,445.8333333333333,447.8157894736842,650.4897959183673,0.5285668333333333
18,370.7894736842105,463.9811320754717,962.1666666666666,915.0192307692307,382.1304347826087,533.9705882352941,417.0238095238095,440.39473684210526,657.4897959183673,0.559659
19,366.94736842105266,474.188679245283,923.6363636363636,876.9038461538462,353.9130434782609,492.1764705882353,438.23809523809524,449.1578947368421,647.1836734693877,0.5907511666666667
20,342.57894736842104,485.37735849056605,913.939393939394,895.0384615384615,381.2826086956522,525.9705882352941,460.04761904761904,418.7105263157895,659.734693877551,0.6218433333333333
21,359.7631578947368,460.92452830188677,947.439393939394,868.5384615384615,379.0869565217391,520.0294117647059,422.6190476190476,422.4736842105263,636.8979591836735,0.6529355
22,378.3421052631579,468.47169811320754,939.2121212121212,855.7884615384615,362.67391304347825,508.9117647058824,418.1904761904762,432.0,621.204081632653,0.6840276666666667
23,373.2631578947368,492.9622641509434,959.0909090909091,861.9615384615385,371.3695652173913,493.2647058823529,438.9047619047619,405.5,636.6122448979592,0.7151198333333334
24,330.55263157894734,471.60377358490564,933.8333333333334,912.8076923076923,331.4347826086956,552.7058823529412,439.07142857142856,408.1842105263158,649.6530612244898,0.746212
25,355.63157894736844,446.50943396226415,907.3181818181819,873.4423076923077,360.9782608695652,539.6470588235294,446.5,411.7631578947368,655.0204081632653,0.7773041666666667
26,386.7894736842105,465.33962264150944,905.7121212121212,890.5192307692307,369.5652173913044,588.7941176470588,459.85714285714283,421.8157894736842,624.2448979591836,0.8083963333333334
27,347.3157894736842,451.1132075471698,881.5,870.9038461538462,368.4347826086956,503.0882352941176,437.57142857142856,437.3157894736842,611.204081632653,0.8394885
28,357.3157894736842,470.9433962264151,919.5909090909091,874.1923076923077,380.2826086956522,519.2941176470588,429.9047619047619,444.9736842105263,607.8775510204082,0.8705806666666667
29,364.39473684210526,470.58490566037733,909.969696969697,859.5576923076923,359.60869565217394,501.3529411764706,407.64285714285717,423.4736842105263,612.3877551020408,0.9016728333333334
30,353.0,480.50943396226415,952.7424242424242,832.7692307692307,392.0869565217391,489.20588235294116,390.57142857142856,392.2631578947368,637.469387755102,0.9327650000000001
31,356.1842105263158,475.3018867924528,875.9090909090909,878.9615384615385,353.17391304347825,492.6764705882353,469.3809523809524,416.60526315789474,609.8775510204082,0.9638571666666667
32,352.0263157894737,480.8301886792453,941.4848484848485,871.4230769230769,399.7173913043478,537.4705882352941,453.35714285714283,392.6578947368421,614.8367346938776,0.9949493333333334
