,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,time
0,546.2368421052631,1099.0384615384614,991.85,1191.875,1198.057142857143,1591.6315789473683,239.1860465116279,766.35,1124.1714285714286,0.0
1,574.578947368421,1089.6923076923076,990.6,1139.890625,1195.7142857142858,1643.842105263158,224.48837209302326,830.6,1140.5142857142857,0.0307965
2,592.8684210526316,1077.7307692307693,956.05,1137.0625,1263.057142857143,1608.2280701754387,203.48837209302326,903.2,1198.6571428571428,0.061593
3,622.921052631579,1106.6153846153845,910.1,1105.109375,1208.6571428571428,1591.9473684210527,246.11627906976744,941.525,1179.4571428571428,0.0923895
4,692.2368421052631,1117.8076923076924,968.6,1173.015625,1246.4285714285713,1623.1754385964912,243.51162790697674,976.25,1176.6285714285714,0.123186
5,634.1315789473684,1106.5,981.025,1135.640625,1212.6857142857143,1593.280701754386,246.25581395348837,1075.275,1129.9142857142858,0.1539825
6,740.7368421052631,1036.3846153846155,921.85,1137.71875,1207.2285714285715,1607.0701754385964,234.34883720930233,1041.825,1186.2285714285715,0.184779
7,729.0263157894736,1152.0,941.925,1126.125,1211.942857142857,1655.017543859649,243.93023255813952,1104.775,1131.9714285714285,0.2155755
8,741.2105263157895,1053.5384615384614,935.975,1119.203125,1194.9714285714285,1609.0701754385964,252.97674418604652,1183.875,1188.6857142857143,0.246372
9,787.7894736842105,1075.9615384615386,888.225,1126.96875,1204.0857142857142,1568.982456140351,287.6744186046512,1252.0,1110.2285714285715,0.2771685
10,804.7894736842105,1087.3461538461538,909.15,1124.046875,1162.2857142857142,1568.421052631579,290.72093023255815,1246.35,1174.0,0.307965
11,863.3157894736842,1118.1153846153845,905.35,1173.859375,1207.3142857142857,1576.1754385964912,335.2325581395349,1252.975,1082.9714285714285,0.3387615
12,840.9736842105264,1109.2692307692307,912.875,1106.0625,1195.3142857142857,1548.8245614035088,366.4418604651163,1369.3,1179.9714285714285,0.369558
13,864.6315789473684,1067.576923076923,923.35,1133.15625,1165.2857142857142,1589.1052631578948,367.6279069767442,1357.675,1171.8,0.4003545
14,833.6052631578947,1149.8076923076924,902.5,1097.46875,1153.5142857142857,1539.2105263157894,386.6511627906977,1429.4,1186.5714285714287,0.431151
15,840.5526315789474,1139.423076923077,880.1,1128.140625,1218.3142857142857,1534.5438596491229,408.6279069767442,1423.975,1199.6857142857143,0.4619475
16,941.1842105263158,1112.6923076923076,941.525,1077.046875,1116.1714285714286,1602.6666666666667,442.95348837209303,1408.25,1127.3714285714286,0.492744
17,904.2368421052631,1187.9615384615386,893.4,1121.578125,1250.5714285714287,1533.859649122807,477.90697674418607,1508.075,1148.0285714285715,0.5235405
18,941.8684210526316,1141.076923076923,944.5,1098.921875,1118.5714285714287,1508.5964912280701,525.6046511627907,1515.15,1222.142857142857,0.554337
19,936.3421052631579,1168.2307692307693,884.925,1104.8125,1145.857142857143,1487.5438596491229,532.0697674418604,1527.675,1153.7142857142858,0.5851335
20,983.1578947368421,1179.0384615384614,871.125,1068.8125,1115.1142857142856,1519.7368421052631,538.9767441860465,1526.65,1164.4857142857143,0.61593
21,916.921052631579,1074.076923076923,853.825,1081.484375,1119.3142857142857,1477.982456140351,568.7441860465116,1518.8,1229.7714285714285,0.6467265
22,1019.7368421052631,1104.576923076923,934.65,1076.171875,1140.142857142857,1442.859649122807,565.7674418604652,1581.125,1166.7428571428572,0.677523
23,953.2105263157895,1151.3461538461538,872.85,1097.515625,1173.7142857142858,1502.7894736842106,627.8139534883721,1506.575,1137.0857142857142,0.7083195
24,942.7105263157895,1205.2692307692307,863.5,1070.171875,1132.6571428571428,1451.8245614035088,610.8837209302326,1530.25,1135.4571428571428,0.739116
25,998.0263157894736,1114.576923076923,848.7,1050.78125,1133.0857142857142,1430.157894736842,678.1860465116279,1556.325,1099.4857142857143,0.7699125
26,979.5,1218.6153846153845,897.0,1082.078125,1149.3428571428572,1507.421052631579,705.5581395348837,1579.825,1129.142857142857,0.800709
27,1000.8947368421053,1179.576923076923,920.05,1109.203125,1148.7142857142858,1417.4035087719299,713.1162790697674,1556.725,1131.2857142857142,0.8315055
28,1077.6842105263158,1166.576923076923,922.2,1096.5,1124.4,1505.877192982456,777.1627906976744,1567.75,1055.0285714285715,0.862302
29,924.9736842105264,1206.6153846153845,961.4,1074.671875,1029.7714285714285,1456.2105263157894,804.8139534883721,1621.775,1180.2857142857142,0.8930985
30,1011.5526315789474,1125.1923076923076,952.25,1074.5625,1154.857142857143,1416.2280701754387,793.046511627907,1630.0,1107.857142857143,0.923895
31,1037.2894736842106,1111.3076923076924,897.7,1114.5,1147.4285714285713,1369.7719298245613,808.7674418604652,1524.525,1149.0,0.9546915
32,993.3157894736842,1097.3461538461538,873.025,1098.65625,1155.7428571428572,1366.0701754385964,884.046511627907,1690.85,1157.6,0.985488
33,1066.3947368421052,1174.5,907.3,1066.609375,1127.5142857142857,1297.7368421052631,907.3488372093024,1660.5,1164.8857142857144,1.0162845
34,980.5526315789474,1146.3846153846155,899.0,1087.890625,1160.5428571428572,1264.8947368421052,976.5813953488372,1646.325,1152.2571428571428,1.047081
35,1002.7105263157895,1088.7692307692307,919.55,1076.46875,1165.857142857143,1178.298245614035,974.6511627906976,1607.45,1164.5142857142857,1.0778775
36,1077.6315789473683,1219.0,887.75,1036.140625,1145.6,1098.122807017544,996.2558139534884,1671.775,1155.0285714285715,1.108674
37,1008.7105263157895,1203.2307692307693,898.05,1094.5625,1103.3428571428572,1019.9122807017544,971.953488372093,1667.25,1186.7714285714285,1.1394705
38,1041.342105263158,1217.1923076923076,956.675,1065.6875,1179.4285714285713,945.4035087719299,1002.8139534883721,1659.5,1193.6857142857143,1.170267
39,1061.1052631578948,1210.7307692307693,921.525,1058.34375,1175.4571428571428,868.859649122807,1060.7441860465117,1591.725,1199.7142857142858,1.2010635
40,1033.4473684210527,1202.2307692307693,918.15,1087.703125,1246.4,834.2982456140351,1077.9767441860465,1652.7,1197.6571428571428,1.23186
41,989.3684210526316,1171.423076923077,932.65,1088.078125,1127.0857142857142,831.8947368421053,1177.5348837209303,1635.725,1199.2,1.2626565
42,1034.2894736842106,1222.7307692307693,929.6,1091.75,1126.5142857142857,773.6315789473684,1118.6511627906978,1644.825,1138.6285714285714,1.293453
43,1056.578947368421,1196.0384615384614,910.275,1062.890625,1187.1714285714286,732.0526315789474,1148.9302325581396,1670.3,1227.6571428571428,1.3242495
44,996.4473684210526,1184.3076923076924,926.75,1104.15625,1138.2857142857142,719.0877192982456,1089.139534883721,1678.6,1189.942857142857,1.355046
45,1091.2894736842106,1192.7307692307693,920.325,1090.875,1198.142857142857,642.8771929824561,1169.3255813953488,1681.75,1229.8285714285714,1.3858425
46,1058.8157894736842,1156.6153846153845,884.675,1116.546875,1202.8,624.8771929824561,1184.5581395348838,1646.7,1264.9714285714285,1.416639
47,1018.7105263157895,1214.0,928.95,1114.796875,1187.4285714285713,595.5263157894736,1147.3023255813953,1641.275,1162.9142857142858,1.4474355
48,1018.1578947368421,1264.6538461538462,908.725,1169.640625,1214.8857142857144,587.3157894736842,1120.5348837209303,1647.2,1173.2857142857142,1.478232
49,1060.7368421052631,1242.2307692307693,962.35,1080.84375,1157.1142857142856,537.3157894736842,1219.5581395348838,1661.75,1163.4857142857143,1.5090285
50,992.7894736842105,1121.0384615384614,957.75,1118.515625,1167.4,511.43859649122805,1217.2790697674418,1628.95,1196.6285714285714,1.539825
51,1015.3421052631579,1192.5,931.475,1155.09375,1133.5142857142857,513.0526315789474,1162.4186046511627,1666.85,1272.8,1.5706215000000001
52,988.6578947368421,1193.423076923077,897.55,1073.078125,1115.0,462.57894736842104,1200.906976744186,1665.725,1277.1714285714286,1.601418
53,944.9736842105264,1229.8076923076924,925.95,1098.578125,1153.5714285714287,472.87719298245617,1140.046511627907,1674.15,1224.2857142857142,1.6322145000000001
54,1005.921052631579,1181.923076923077,940.575,1103.453125,1132.4571428571428,456.35087719298247,1193.3488372093022,1610.35,1227.8,1.663011
55,982.7894736842105,1173.6538461538462,947.7,1112.3125,1118.8,463.7894736842105,1201.0,1600.55,1233.142857142857,1.6938075000000001
