,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
0,770.2391304347826,880.2972972972973,1407.125,1200.2954545454545,1313.3191489361702,1660.8636363636363,368.6,781.7,639.8055555555555,1047.3225806451612,1161.439024390244,1432.8490566037735,0.0
1,737.304347826087,859.5675675675676,1417.4464285714287,1118.2954545454545,1277.595744680851,1682.1363636363637,358.73333333333335,861.6,655.8888888888889,939.3870967741935,1114.1707317073171,1537.3207547169811,0.030986166666666665
2,784.7173913043479,857.3513513513514,1361.9464285714287,1131.3181818181818,1259.468085106383,1672.4545454545455,368.26666666666665,849.8,564.2222222222222,975.7096774193549,1118.3902439024391,1393.698113207547,0.06197233333333333
3,739.195652173913,904.0540540540541,1372.2142857142858,1212.340909090909,1293.5106382978724,1741.1818181818182,368.03333333333336,806.7666666666667,599.3888888888889,916.4516129032259,1158.9268292682927,1439.0188679245282,0.0929585
4,750.0652173913044,957.1351351351351,1406.3214285714287,1199.5,1287.6808510638298,1657.909090909091,346.3333333333333,845.3,574.0833333333334,932.0967741935484,1114.5365853658536,1534.377358490566,0.12394466666666666
5,761.2826086956521,871.1621621621622,1413.7142857142858,1168.0454545454545,1266.0,1716.7045454545455,336.73333333333335,887.0,622.8611111111111,942.0645161290323,1155.0731707317073,1486.9433962264152,0.15493083333333332
6,729.2173913043479,886.8648648648649,1414.5714285714287,1165.5227272727273,1247.6170212765958,1727.3181818181818,365.6333333333333,814.6666666666666,641.4722222222222,879.0,1200.2682926829268,1475.245283018868,0.185917
7,760.8260869565217,908.3513513513514,1374.982142857143,1233.1136363636363,1313.9787234042553,1690.6363636363637,370.23333333333335,811.2,644.0277777777778,1008.0645161290323,1239.341463414634,1503.622641509434,0.21690316666666665
8,761.4782608695652,894.9459459459459,1385.357142857143,1145.4318181818182,1246.063829787234,1789.5227272727273,356.1666666666667,865.2,625.75,949.2903225806451,1251.9512195121952,1500.867924528302,0.24788933333333332
9,750.5652173913044,882.2162162162163,1387.6607142857142,1172.9318181818182,1227.7659574468084,1665.9772727272727,336.8666666666667,853.0666666666667,625.8055555555555,933.0645161290323,1198.0487804878048,1487.7735849056603,0.2788755
10,753.0652173913044,940.0,1429.642857142857,1190.340909090909,1263.2978723404256,1704.0227272727273,374.6,864.1333333333333,613.1388888888889,986.1935483870968,1169.3902439024391,1486.566037735849,0.30986166666666665
11,742.695652173913,957.9459459459459,1364.6964285714287,1147.1818181818182,1335.468085106383,1779.590909090909,352.56666666666666,872.5666666666667,646.1944444444445,932.9032258064516,1179.1951219512196,1478.4716981132076,0.3408478333333333
12,745.5869565217391,941.2972972972973,1402.482142857143,1189.8636363636363,1294.659574468085,1758.7727272727273,319.56666666666666,874.7333333333333,636.6944444444445,948.9354838709677,1177.121951219512,1412.566037735849,0.371834
13,740.9347826086956,991.4594594594595,1404.875,1187.5227272727273,1283.6170212765958,1646.5227272727273,339.3,835.4666666666667,624.6944444444445,945.1290322580645,1151.219512195122,1512.1698113207547,0.40282016666666665
14,726.6739130434783,952.6486486486486,1363.6785714285713,1157.2954545454545,1344.468085106383,1761.6363636363637,320.5,836.9,624.5277777777778,940.483870967742,1155.6341463414635,1446.2075471698113,0.4338063333333333
15,706.1521739130435,902.4324324324324,1438.982142857143,1182.2045454545455,1299.7446808510638,1766.090909090909,352.6333333333333,884.5,667.6944444444445,988.4516129032259,1200.8048780487804,1443.7735849056603,0.4647925
