,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,time
0,172.6060606060606,250.3,234.30769230769232,811.5348837209302,1045.25,854.5555555555555,760.2903225806451,139.8846153846154,355.1136363636364,462.3157894736842,593.1818181818181,780.0,385.1333333333333,0.0
1,174.33333333333334,248.96666666666667,222.15384615384616,842.0232558139535,992.2884615384615,882.8055555555555,715.9032258064516,150.34615384615384,392.97727272727275,461.44736842105266,638.7954545454545,810.0,383.76666666666665,0.031236666666666666
2,168.0,217.8,197.15384615384616,767.0930232558139,957.5576923076923,832.6388888888889,695.516129032258,144.1153846153846,354.84090909090907,490.39473684210526,626.4772727272727,773.5769230769231,394.56666666666666,0.06247333333333333
3,161.27272727272728,242.4,216.42307692307693,819.3023255813954,1024.5384615384614,821.25,699.6129032258065,169.03846153846155,348.6136363636364,475.6842105263158,655.9545454545455,821.0384615384615,354.43333333333334,0.09371
4,147.42424242424244,222.86666666666667,220.07692307692307,816.2093023255813,999.2692307692307,805.0833333333334,741.3548387096774,142.1153846153846,366.22727272727275,454.9736842105263,659.3863636363636,794.2692307692307,370.1333333333333,0.12494666666666666
5,153.57575757575756,226.0,253.65384615384616,788.5116279069767,953.1153846153846,829.3333333333334,693.741935483871,163.26923076923077,377.3636363636364,482.86842105263156,635.7272727272727,787.6923076923077,360.8666666666667,0.15618333333333334
6,155.15151515151516,230.93333333333334,213.84615384615384,804.7441860465116,990.0769230769231,812.6666666666666,691.4516129032259,160.03846153846155,388.77272727272725,473.2894736842105,668.3409090909091,783.6153846153846,343.9,0.18742
7,168.0,217.36666666666667,233.0,806.5813953488372,980.9807692307693,822.6944444444445,682.6451612903226,157.3846153846154,388.8181818181818,448.7631578947368,622.6136363636364,778.2307692307693,366.03333333333336,0.21865666666666667
8,173.36363636363637,241.56666666666666,238.19230769230768,776.1627906976744,962.0192307692307,803.75,700.6129032258065,179.96153846153845,357.29545454545456,464.63157894736844,654.6818181818181,805.1923076923077,360.76666666666665,0.24989333333333333
9,172.96969696969697,236.36666666666667,228.69230769230768,782.5813953488372,1003.6153846153846,820.6666666666666,673.483870967742,165.30769230769232,387.1363636363636,487.4736842105263,636.8863636363636,811.0,357.8333333333333,0.28113
10,164.54545454545453,266.43333333333334,234.26923076923077,848.7209302325581,935.1730769230769,735.7777777777778,679.5806451612904,159.69230769230768,391.90909090909093,451.44736842105266,635.1818181818181,757.1923076923077,360.8333333333333,0.3123666666666667
11,153.96969696969697,237.83333333333334,218.46153846153845,771.9069767441861,966.0384615384615,746.6944444444445,692.9354838709677,157.57692307692307,404.34090909090907,474.1842105263158,634.8409090909091,764.2307692307693,358.8666666666667,0.3436033333333333
12,177.6060606060606,254.86666666666667,216.23076923076923,794.7906976744187,1013.9423076923077,817.6111111111111,668.4193548387096,152.15384615384616,374.09090909090907,470.42105263157896,654.4318181818181,853.1923076923077,375.8666666666667,0.37484
13,165.5151515151515,248.36666666666667,228.76923076923077,787.2558139534884,1012.8461538461538,819.3611111111111,697.3225806451613,152.57692307692307,402.3181818181818,502.44736842105266,611.3863636363636,818.5,341.5,0.40607666666666664
14,182.45454545454547,264.8,222.30769230769232,752.2093023255813,963.4807692307693,795.5833333333334,725.1935483870968,158.53846153846155,373.0681818181818,480.8421052631579,636.0454545454545,799.7692307692307,349.96666666666664,0.43731333333333333
15,177.12121212121212,231.7,203.34615384615384,793.8837209302326,1010.3653846153846,822.9166666666666,705.9354838709677,163.15384615384616,388.0681818181818,490.9736842105263,621.4318181818181,751.1923076923077,389.53333333333336,0.46854999999999997
16,179.1818181818182,238.96666666666667,230.0,779.0,969.4807692307693,818.7777777777778,718.9354838709677,168.19230769230768,397.3181818181818,477.89473684210526,627.8636363636364,816.5769230769231,343.23333333333335,0.49978666666666666
17,166.54545454545453,258.6333333333333,200.80769230769232,761.1395348837209,1018.9230769230769,784.1666666666666,682.7741935483871,174.96153846153845,382.20454545454544,478.57894736842104,651.3863636363636,808.1538461538462,334.76666666666665,0.5310233333333333
18,180.33333333333334,247.4,227.73076923076923,776.3953488372093,1048.5576923076924,892.8611111111111,718.8709677419355,159.53846153846155,365.4318181818182,479.44736842105266,664.0681818181819,843.9615384615385,358.7,0.56226
19,175.06060606060606,233.53333333333333,209.65384615384616,791.8139534883721,992.25,849.3333333333334,739.2903225806451,154.53846153846155,378.54545454545456,471.89473684210526,670.8636363636364,802.1923076923077,355.8333333333333,0.5934966666666667
20,174.06060606060606,259.93333333333334,220.5,793.7674418604652,1022.5576923076923,898.5277777777778,711.0,164.1153846153846,420.52272727272725,454.36842105263156,639.2727272727273,752.1153846153846,381.23333333333335,0.6247333333333334
21,183.0909090909091,247.13333333333333,235.0,835.6279069767442,1020.5576923076923,865.1111111111111,774.6129032258065,158.76923076923077,382.77272727272725,489.0,699.1590909090909,832.8846153846154,387.1333333333333,0.6559699999999999
22,172.33333333333334,211.16666666666666,211.76923076923077,841.1395348837209,1022.1538461538462,891.1944444444445,744.6129032258065,163.15384615384616,417.20454545454544,441.2631578947368,633.2045454545455,813.5384615384615,411.8,0.6872066666666666
23,162.1818181818182,260.03333333333336,218.07692307692307,767.4651162790698,1043.1153846153845,821.6388888888889,727.3225806451613,176.53846153846155,361.6818181818182,485.5,686.6590909090909,824.8846153846154,422.3333333333333,0.7184433333333333
24,178.06060606060606,238.43333333333334,213.3846153846154,806.0930232558139,1018.4807692307693,906.5833333333334,733.0967741935484,167.96153846153845,385.34090909090907,483.2631578947368,691.3409090909091,874.8461538461538,400.6,0.74968
25,170.6060606060606,267.23333333333335,223.65384615384616,774.5581395348837,1039.0961538461538,879.8333333333334,721.741935483871,162.69230769230768,387.79545454545456,478.6578947368421,681.8181818181819,809.9230769230769,414.76666666666665,0.7809166666666667
26,177.3939393939394,258.73333333333335,207.26923076923077,846.953488372093,1052.4615384615386,893.8055555555555,764.1612903225806,155.15384615384616,366.8181818181818,456.5,635.3409090909091,817.7692307692307,390.8,0.8121533333333333
27,169.03030303030303,244.06666666666666,212.26923076923077,777.8837209302326,1025.6153846153845,902.6666666666666,766.0,154.34615384615384,379.8181818181818,474.0,651.6363636363636,792.3461538461538,393.6333333333333,0.84339
28,161.75757575757575,251.83333333333334,205.57692307692307,852.8837209302326,1021.75,816.5277777777778,792.6774193548387,175.30769230769232,375.54545454545456,487.6842105263158,654.75,872.1538461538462,386.56666666666666,0.8746266666666667
29,163.9090909090909,242.4,230.23076923076923,840.6976744186046,1071.2307692307693,891.3611111111111,699.1612903225806,179.8846153846154,384.29545454545456,423.89473684210526,661.9090909090909,881.8846153846154,420.8,0.9058633333333334
30,158.45454545454547,249.36666666666667,226.6153846153846,826.046511627907,1022.9423076923077,901.1111111111111,761.483870967742,175.80769230769232,376.47727272727275,474.5263157894737,653.5,817.1153846153846,374.76666666666665,0.9370999999999999
31,159.36363636363637,240.73333333333332,204.42307692307693,831.8604651162791,1033.6538461538462,901.6666666666666,764.516129032258,175.76923076923077,369.72727272727275,456.7368421052632,650.2272727272727,804.5769230769231,405.43333333333334,0.9683366666666666
32,153.72727272727272,256.7,223.15384615384616,800.2558139534884,994.6153846153846,914.1111111111111,740.483870967742,168.3846153846154,369.5681818181818,471.8421052631579,627.7727272727273,758.2692307692307,389.96666666666664,0.9995733333333333
33,155.96969696969697,254.26666666666668,223.26923076923077,771.046511627907,1060.2692307692307,858.1666666666666,751.0322580645161,147.96153846153845,345.6818181818182,481.60526315789474,631.1136363636364,786.1538461538462,392.23333333333335,1.03081
34,160.57575757575756,243.16666666666666,213.65384615384616,821.6046511627907,993.75,873.3611111111111,721.5806451612904,153.46153846153845,386.79545454545456,448.8421052631579,634.4772727272727,815.3076923076923,405.76666666666665,1.0620466666666666
35,165.27272727272728,250.16666666666666,209.73076923076923,751.2558139534884,1018.0,927.5277777777778,707.7096774193549,139.15384615384616,365.90909090909093,446.7894736842105,640.9318181818181,800.3076923076923,384.8,1.0932833333333334
36,147.15151515151516,235.93333333333334,181.53846153846155,764.0232558139535,1028.3653846153845,867.1944444444445,724.3870967741935,160.03846153846155,364.6363636363636,434.5,638.0909090909091,843.7692307692307,379.6333333333333,1.12452
37,144.3030303030303,269.03333333333336,216.26923076923077,738.6279069767442,1024.9423076923076,903.6388888888889,746.3225806451613,147.1153846153846,370.6136363636364,458.1842105263158,700.8409090909091,763.1923076923077,341.3,1.1557566666666665
38,130.6060606060606,241.2,216.34615384615384,776.6511627906976,977.5769230769231,889.25,724.741935483871,162.19230769230768,402.6363636363636,471.0263157894737,617.1363636363636,747.8461538461538,375.4,1.1869933333333333
39,151.75757575757575,223.06666666666666,217.84615384615384,854.0232558139535,1047.75,854.8333333333334,743.3870967741935,166.23076923076923,342.3636363636364,440.1578947368421,625.2727272727273,763.1923076923077,368.93333333333334,1.21823
40,140.93939393939394,237.93333333333334,214.15384615384616,854.3953488372093,1039.8846153846155,865.7777777777778,752.9354838709677,152.23076923076923,334.3863636363636,427.57894736842104,668.9545454545455,787.2307692307693,397.23333333333335,1.2494666666666667
41,149.12121212121212,220.2,196.07692307692307,794.2325581395348,1009.4423076923077,890.1944444444445,740.8064516129032,137.76923076923077,367.04545454545456,472.13157894736844,653.4772727272727,730.1538461538462,411.2,1.2807033333333333
42,176.27272727272728,253.03333333333333,194.42307692307693,802.8139534883721,993.8269230769231,894.4166666666666,805.0645161290323,160.92307692307693,336.59090909090907,492.2368421052632,637.9318181818181,783.8461538461538,423.7,1.3119399999999999
43,155.45454545454547,223.13333333333333,238.96153846153845,770.4651162790698,1005.1730769230769,869.7222222222222,764.483870967742,169.34615384615384,336.02272727272725,457.7368421052632,645.4772727272727,786.9615384615385,382.4,1.3431766666666667
44,137.45454545454547,246.46666666666667,209.15384615384616,815.4651162790698,1019.0192307692307,861.8611111111111,733.8064516129032,145.23076923076923,338.65909090909093,459.1842105263158,672.4090909090909,806.6153846153846,408.46666666666664,1.3744133333333333
