,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
0,216.23076923076923,145.71794871794873,277.3673469387755,277.1951219512195,326.4,339.1904761904762,260.225,360.390243902439,290.344262295082,205.74074074074073,276.58730158730157,258.5238095238095,222.86363636363637,202.83673469387756,0.0
1,226.4102564102564,148.46153846153845,262.0,270.3170731707317,361.2,306.04761904761904,255.2,365.6585365853659,291.60655737704917,194.88888888888889,263.3968253968254,236.38095238095238,217.5909090909091,217.3673469387755,0.030749666666666665
2,223.43589743589743,141.15384615384616,255.81632653061226,288.3658536585366,340.22857142857146,355.2857142857143,256.8,368.4878048780488,274.26229508196724,208.12962962962962,262.22222222222223,238.83333333333334,213.97727272727272,215.48979591836735,0.06149933333333333
3,248.05128205128204,147.05128205128204,286.3265306122449,304.9024390243902,324.42857142857144,339.4761904761905,257.65,385.7560975609756,277.6393442622951,206.5185185185185,252.73015873015873,231.42857142857142,233.9318181818182,227.28571428571428,0.092249
4,246.0,151.6153846153846,263.8775510204082,290.0731707317073,327.8285714285714,322.0952380952381,261.025,386.4878048780488,274.8360655737705,199.72222222222223,267.04761904761904,228.88095238095238,226.3409090909091,215.28571428571428,0.12299866666666666
5,253.89743589743588,147.5897435897436,250.6326530612245,285.0975609756098,329.1714285714286,308.4761904761905,243.675,406.4878048780488,295.0163934426229,205.59259259259258,275.63492063492066,244.8095238095238,229.20454545454547,222.51020408163265,0.15374833333333332
6,265.1025641025641,145.23076923076923,253.26530612244898,272.3414634146341,336.51428571428573,273.2857142857143,246.4,435.6341463414634,292.7049180327869,215.33333333333334,287.87301587301585,242.11904761904762,231.13636363636363,216.08163265306123,0.184498
7,256.12820512820514,147.46153846153845,277.48979591836735,252.58536585365854,318.62857142857143,317.6666666666667,255.225,404.3658536585366,330.6393442622951,203.27777777777777,269.1746031746032,242.14285714285714,221.61363636363637,212.30612244897958,0.21524766666666664
8,271.3333333333333,169.7948717948718,267.1224489795918,248.5121951219512,357.9142857142857,316.76190476190476,276.175,404.5121951219512,364.1639344262295,229.94444444444446,275.3174603174603,243.95238095238096,223.25,226.77551020408163,0.24599733333333332
9,276.94871794871796,163.5897435897436,260.6734693877551,257.0243902439024,348.8285714285714,306.8095238095238,253.475,442.1951219512195,406.08196721311475,196.87037037037038,271.6190476190476,221.21428571428572,217.61363636363637,211.3469387755102,0.27674699999999997
